date,prediction
7/7/21,33244.62
8/7/21,33238.65919
9/7/21,33232.83941
10/7/21,33227.15312
11/7/21,33221.59697
12/7/21,33216.16752
13/7/21,33210.86195
14/7/21,33205.6769
15/7/21,33200.60945
16/7/21,33195.65697
17/7/21,33190.81631
18/7/21,33186.08495
19/7/21,33181.46006
20/7/21,33176.9392
21/7/21,33172.51984
22/7/21,33168.19936
23/7/21,33163.97562
24/7/21,33159.84611
25/7/21,33155.80879
26/7/21,33151.86123
27/7/21,33148.00152
28/7/21,33144.22732
29/7/21,33140.53681
30/7/21,33136.92798
31/7/21,33133.39889
1/8/21,33129.94772
2/8/21,33126.57256
3/8/21,33123.27168
4/8/21,33120.04336
5/8/21,33116.88589